Lat,Lat@type,Lng,Lng@type,PartitionKey,RowKey,Timestamp
60.40814,Edm.Double,5.78821,Edm.Double,2014,DKMR50000113,2020-03-23T21:26:13.830Z
65.81365,Edm.Double,14.38414,Edm.Double,2014,DKMR50000213,2020-03-23T21:23:44.373Z
59.23653,Edm.Double,5.88884,Edm.Double,2014,DKMR50000313,2020-03-23T21:20:03.533Z
60.05402,Edm.Double,8.82428,Edm.Double,2014,DKMR50000413,2020-03-23T21:18:48.487Z
63.28971,Edm.Double,11.80431,Edm.Double,2014,DKMR50000513,2020-03-23T21:17:14.770Z
61.07116,Edm.Double,9.04413,Edm.Double,2014,DKMR50000613,2020-03-23T21:12:49.140Z
61.0912,Edm.Double,4.7425,Edm.Double,2015,DKSF47000114,2020-03-23T21:09:58.660Z
71.06385,Edm.Double,28.24646,Edm.Double,2015,DKSF47000214,2020-03-23T21:08:14.880Z
59.87623,Edm.Double,8.15328,Edm.Double,2015,DKSF47000314,2020-03-23T20:55:44.680Z
67.27956,Edm.Double,13.97809,Edm.Double,2015,DKSF47000414,2020-03-23T20:54:33.597Z
59.94557,Edm.Double,5.27327,Edm.Double,2015,DKSF47000514,2020-03-23T20:53:15.953Z
61.11698,Edm.Double,7.16961,Edm.Double,2015,DKSF47000614,2020-03-23T20:50:39.103Z
61.09413,Edm.Double,6.2928,Edm.Double,2016,DKSF47000116,2020-03-23T20:40:59.330Z
70.71539,Edm.Double,28.07578,Edm.Double,2016,DKSF47000216,2020-03-23T20:39:02.813Z
58.18037,Edm.Double,7.69732,Edm.Double,2016,DKSF47000316,2020-03-23T20:33:02.837Z
59.01461,Edm.Double,6.42897,Edm.Double,2016,DKSF47000416,2020-03-23T20:30:57.323Z
69.75502,Edm.Double,23.9332,Edm.Double,2016,DKSF47000516,2020-03-23T20:25:39.437Z
60.63802,Edm.Double,5.72192,Edm.Double,2016,DKSF47000616,2020-03-23T20:28:43.783Z
62.26393,Edm.Double,6.49968,Edm.Double,2017,DVSF65001117,2020-03-23T20:12:57.790Z
69.98876,Edm.Double,20.64282,Edm.Double,2017,DVSF65001217,2020-03-23T20:08:00.413Z
65.63125,Edm.Double,12.74425,Edm.Double,2017,DVSF65001317,2020-03-23T20:05:31.090Z
58.6391,Edm.Double,8.97919,Edm.Double,2017,DVSF65001417,2020-03-23T20:03:47.570Z
64.86561,Edm.Double,10.99164,Edm.Double,2017,DVSF65001517,2020-03-23T20:02:29.623Z
60.95799,Edm.Double,6.93411,Edm.Double,2017,DVSF65001617,2020-03-23T20:01:05.467Z
69.64578,Edm.Double,18.12926,Edm.Double,2018,DVSF65001118,2020-03-23T00:34:01.160Z
58.99945,Edm.Double,9.80947,Edm.Double,2018,DVSF65001218,2020-03-23T00:31:25.773Z
67.72189,Edm.Double,15.28944,Edm.Double,2018,DVSF65001318,2020-03-23T00:30:12.270Z
60.49315,Edm.Double,12.32261,Edm.Double,2018,DVSF65001418,2020-03-23T00:27:45.120Z
59.94801,Edm.Double,5.8452,Edm.Double,2018,DVSF65001518,2020-03-23T00:26:57.163Z
70.67945,Edm.Double,23.00561,Edm.Double,2018,DVSF65001618,2020-03-23T00:25:39.093Z
68.15311,Edm.Double,14.64911,Edm.Double,2019,DVSF65100119,2020-03-23T00:18:51.143Z
59.85208,Edm.Double,9.1968,Edm.Double,2019,DVSF65100219,2020-03-23T20:48:25.103Z
60.4258,Edm.Double,10.99761,Edm.Double,2019,DVSF65100319,2020-03-23T00:16:43.297Z
60.989742,Edm.Double,4.591438,Edm.Double,2019,DVSF65100419,2020-03-23T00:11:07.643Z
64.193218,Edm.Double,10.069565,Edm.Double,2019,DVSF65100519,2020-03-23T00:09:15.993Z
69.377284,Edm.Double,21.947916,Edm.Double,2019,DVSF65100619,2020-03-22T22:41:24.663Z
61.131598,Edm.Double,8.785774,Edm.Double,2019,DVSF65100719,2020-03-22T22:41:44.400Z
